stay_type,room_type,combined_name,risk_score,avg_rating,review_count
Couple,Extra Large Studio with Kitchenette and Sofa Bed - Accessible,Numa Fore - my4walls-serviced-apartments-hamburg,1.8964134567875361,5.833333333333333,6
Couple,"Extra Large Studio with Kitchenette, Balcony and Sofa Bed",Numa Drift - gaijin,,10.0,1
Couple,"Extra Large Studio with Kitchenette, Balcony and Sofa Bed",Numa Leo - numa-i-leo-apartments,,10.0,1
Couple,Family Two-Bedroom Apartment Canal Side,Numa YAYS Amsterdam Salthouse Canal by Numa - yays-amsterdam-salthouse-canal,,10.0,1
Couple,Imperial Suite,Numa Potsdamer Platz - precise-tale-berlin,,10.0,1
Couple,Junior Suite,Numa Flow - fashion-dancing,0.17700115818247686,9.357142857142858,14
Couple,Junior Suite,Numa Libusa - sunrise,0.44000000000000006,9.066666666666666,15
Couple,Junior Suite,Numa Potsdamer Platz - precise-tale-berlin,0.14548372011564242,7.8,10
Couple,Large 1 Bedroom Apartment,Numa YAYS The Hague Willemspark by Numa - yays-the-hague-willemspark,1.1073837713380683,8.416666666666666,12
Couple,Large 1 Bedroom Apartment with Balcony,Numa Strauss - sunrise-apartments,0.21500000000000002,8.5,4
Couple,Large 1 Bedroom Apartment with Balcony and Sofa Bed,Numa Loreto - loreto-rooms-amp-apartments,1.3328382171828017,8.0,7
Couple,Large 1 Bedroom Apartment with Shared Terrace and Sofa Bed,Numa Vita - m7-contemporary-apartments-my-extra-home,0.13333333333333336,9.333333333333334,6
Couple,Large 1 Bedroom Apartment with Sofa Bed,Numa Docklands - yays-amsterdam-docklands,4.494197046415011,6.0,3
Couple,Large 1 Bedroom Apartment with Sofa Bed,Numa Sonate - townhouse-tessa-by-heymcollections,0.6506616894315977,8.4,5
Couple,Large 1 Bedroom Apartment with Sofa Bed,Numa Vita - m7-contemporary-apartments-my-extra-home,0.46580880230880234,8.5,10
Couple,Large 1 Bedroom Apartment with Sofa Bed,Numa YAYS Paris Issy by Numa - yays-paris-issy,,7.0,1
Couple,Large 1 Bedroom Apartment with Sofa Bed - Duplex,Numa Fiore - le-fiorentine-boutique-apartments,0.0,9.0,2
Couple,Large 1 Bedroom Apartment with Sofa Bed - Duplex,Numa Topp - frogner-house-apartments-skovveien-15,,10.0,1
Couple,Large 1 Bedroom Apartment with Sofa Bed - no AC,Numa Terra - numa-i-terra-apartments,0.2,9.0,3
Couple,Large 1 Bedroom Apartment with Sofa Bed and AC,Numa Terra - numa-i-terra-apartments,,10.0,1
Couple,Large 1 Bedroom Apartment with Terrace and Sofa Bed,Numa Drift - gaijin,2.043279536560811,7.0,2
Couple,Large 1 Bedroom Apartment with Terrace and Sofa Bed - no AC,Numa Terra - numa-i-terra-apartments,0.29930657221566315,8.636363636363637,11
Couple,"Large 1 Bedroom Apartment, Sofa Bed and Bathtub",Numa Vici - dolce-vita-residence,1.2666666666666668,8.666666666666666,3
Couple,Large 2 Bedroom Apartment - Duplex,Numa Vita - m7-contemporary-apartments-my-extra-home,,10.0,1
Couple,Large 2 Bedroom Apartment with Sofa Bed,Numa Vita - m7-contemporary-apartments-my-extra-home,,9.0,1
Couple,Large 2 Bedroom Apartment with Sofa Bed - Duplex,Numa Saga - numa-l-saga-apartments,,10.0,1
Couple,Large Double Room,Numa Kudamm - about-berlin-hotel,0.4,9.0,2
Couple,Large Room,Numa Belfort - belfort-berlin,0.7931932353817048,8.166666666666666,6
Couple,Large Room,Numa Felice - numa-i-felice-rooms-amp-apartments,0.3756961354236641,8.766666666666667,60
Couple,Large Room,Numa Ivy - villa-ivy-by-heymcollections,0.8706785247357712,8.2,5
