Unnamed: 0,Hotel Name,Mean Rating,Median Rating,Variance Rating,Low-Score Proportion,Low-Score Trend Slope,Low-Score Trend Confidence,Variance Trend Slope,Variance Trend Confidence,Composite Risk Score,Overall Risk Label,Cluster,Rank
43,retrome-barcelona,8.212765957446809,8.5,3.1820074005550416,0.0744680851063829,0.0031221091581868,0.0281989788024137,-0.0130087881591119,0.0045860564317301,-2.2939465772432936,Low,1,74.0
44,gaijin,8.516784244562022,8.708333333333332,1.7817384827304643,0.0867430922986478,-0.0001088591290422,0.000608240408511,-0.0095367599832282,0.0073844223419283,-2.829796054680477,Low,1,40.0
45,precise-tale-berlin,8.08046476120199,8.190909090909091,1.035652314095146,0.1359940132966448,0.0007896913144181,0.0264493960840224,0.0068331846253062,0.0073033452528236,-2.8526519468785154,Low,1,38.0
46,frogner-house-apartments-skovveien-15,8.938320209973751,9.0,0.7105613534419308,0.0124671916010498,0.0002060289338832,0.01487126556571,0.0039813382702162,0.0070100768957939,-3.3554867425425985,Low,0,8.0
47,numa-milan-sempione,9.145601851851852,9.333333333333334,0.9554850786819684,0.0467592592592592,-0.0012932235727913,0.0226201069838934,0.0137181919523227,0.0133412755639185,-3.347102413025847,Low,0,9.0
48,townhouse-nora-salzburg,8.662162162162161,9.0,1.7090840840840835,0.0675675675675675,-0.0047415836889521,0.0455684666210982,-0.0303461356092935,0.0227854614737398,-2.922338786154575,Low,0,33.0
49,numa-i-voga-rooms-amp-apartments,8.996846846846847,9.0,1.2736703370036706,0.027027027027027,-0.001778093883357,0.0281954887218045,-0.103327011221748,0.021586129010859,-3.2138124440229703,Low,0,13.0
50,capriceroma,8.131398809523809,8.45,2.8961370676879667,0.1711681547619047,-0.0016697949093572,0.0384308120253754,-0.0110884758591222,0.0041052485429925,-2.299577132689965,Low,2,73.0
51,palazzo-del-moro-firenze,8.475409836065573,9.0,4.870218579234974,0.1202185792349726,-0.0033315705975674,0.036632977986986,-0.0078529878371232,0.0240731946946127,-1.870440683941477,Moderate,2,85.0
52,star-apart-hauptbahnhof,7.190740740740741,7.416666666666666,4.290398191618849,0.3291666666666666,-0.0013693270735524,0.0047109559213094,-0.009713915149956,0.0010946721756604,-1.4258387624070143,Moderate,2,95.0
53,bedfordcornerhotel,8.173107068914522,8.4,1.4493497107435107,0.0970718722271517,-0.0001902653170769,0.0017929332144037,0.0034680492567397,0.0012290361804113,-2.785593226366921,Low,1,41.0
54,numa-i-prestigio-apartments,9.35374149659864,10.0,1.332908163265306,0.0204081632653061,0.0024489795918367,0.0599999999999999,-0.0013945578231292,0.0019872325333963,-3.3310697278911574,Low,0,10.0
55,yays-amsterdam-salthouse-canal,8.107939491586107,8.0,1.8964707174166089,0.1259040458288578,0.0003047451930854,0.0022001266780351,-0.0072369757015139,0.0063964270920316,-2.611945307026566,Low,1,56.0
56,townhouse-tessa-by-heymcollections,7.638888888888889,8.0,4.137301587301588,0.2222222222222222,-0.0054054054054054,0.0198373130411965,-0.0302445302445302,0.0294983543773029,-1.7073595023595023,Moderate,2,90.0
57,numa-i-luna-apartments,8.807347670250897,9.0,1.4877684925458412,0.0627240143369175,-0.0004127997771875,0.002819408476724,0.019969810907861,0.020792469527172,-3.043332092032799,Low,1,24.0
58,yays-paris-issy,8.397249190938512,9.0,2.558170463438881,0.1030744336569579,-0.0013488629208218,0.0221462098931664,-0.0141842024337741,0.0072157659789988,-2.5415995133428035,Low,1,61.0
59,amsterdam-vondelpark-by-yays,7.657894736842105,8.0,3.279239766081871,0.2105263157894736,0.0245614035087719,0.1293729372937293,-0.1271929824561403,0.152554056015092,-1.981929824561404,Moderate,0,82.0
